time,token,status,reason,volume_usdc,small_test_usdc,usdc_back,backup_usdc_back,profit_usd,profit_percent,backup_profit_percent,buy_place,sell_place,backup_place,token_amount,buy_slippage,sell_slippage,spread_percent,route_pair,is_near_profit,buy_dexes_checked,sell_dexes_checked
2026-04-29 13:03:10,BAL,ok,,50,20,49.7072,49.6304,-0.3101,-0.6203,-0.7682,Odos,KyberSwap,0x/Matcha,313.2160396203169,0.0591,0.0856,-0.5856,Odos -> KyberSwap,False,5,4
2026-04-29 13:03:16,WMATIC,ok,,500,150.0,499.7066,499.6825,-0.3168,-0.0634,-0.0646,KyberSwap,Odos,Sushi,5383.794183839992,0.002,0.0033,-0.0587,KyberSwap -> Odos,False,6,5
2026-04-29 13:03:19,DAI,ok,,200,60.0,200.0002,199.973,-0.0137,-0.0068,-0.0172,Odos,KyberSwap,Sushi,199.99676174374565,-0.0017,-0.0017,0.0001,Odos -> KyberSwap,True,6,5
2026-04-29 13:03:24,BAL,ok,,100,30.0,99.14,99.0312,-0.9086,-0.9086,-1.0146,Odos,KyberSwap,0x/Matcha,625.7726116458499,0.1048,0.1711,-0.86,Odos -> KyberSwap,False,5,4
2026-04-29 13:03:30,DAI,ok,,500,150.0,499.9878,499.9278,-0.0229,-0.0046,-0.0154,KyberSwap,Odos,Sushi,499.98833538060717,-0.0005,0.0006,-0.0024,KyberSwap -> Odos,True,6,5
2026-04-29 13:03:33,GRT,ok,,50,20,49.4529,49.3957,-0.5845,-1.1689,-1.2834,Odos,Sushi,0x/Matcha,1985.9471591005447,0.1627,0.1355,-1.0941,Odos -> Sushi,False,5,4
2026-04-29 13:03:38,BAL,ok,,200,60.0,197.3198,197.1438,-2.7329,-1.3664,-1.4503,Odos,KyberSwap,0x/Matcha,1248.7598017862856,0.265,0.2627,-1.3401,Odos -> KyberSwap,False,5,4
2026-04-29 13:03:45,SNX,ok,,50,20,49.4422,49.3882,-0.5843,-1.1687,-1.2236,0x/Matcha,Odos,Sushi,155.91332060361088,0.1681,0.1855,-1.1155,0x/Matcha -> Odos,False,5,4
2026-04-29 13:03:48,GRT,ok,,100,30.0,98.4324,98.3721,-1.6007,-1.6007,-1.661,Odos,Sushi,0x/Matcha,3963.4514571138498,0.2708,0.2583,-1.5676,Odos -> Sushi,False,5,4
2026-04-29 13:03:51,BAL,ok,,500,150.0,488.0532,486.9685,-12.0014,-2.4003,-2.6099,KyberSwap,Odos,0x/Matcha,3105.670312531419,0.5363,0.549,-2.3894,KyberSwap -> Odos,False,5,4
2026-04-29 13:03:59,SNX,ok,,100,30.0,98.4008,98.1869,-1.6255,-1.6255,-1.8395,Odos,0x/Matcha,Sushi,310.9516630752936,0.3867,0.2472,-1.5992,Odos -> 0x/Matcha,False,5,4
2026-04-29 13:04:04,stMATIC,ok,,50,20,49.8669,49.8251,-0.1546,-0.3091,-0.3783,Odos,KyberSwap,0x/Matcha,469.6711804946468,0.0234,0.0739,-0.2662,Odos -> KyberSwap,False,6,5
2026-04-29 13:04:05,GRT,ok,,200,60.0,195.1369,195.0434,-4.8986,-2.4493,-2.5043,Odos,0x/Matcha,KyberSwap,7893.662349737145,0.5889,0.4227,-2.4316,Odos -> 0x/Matcha,False,5,4
2026-04-29 13:04:12,SNX,ok,,200,60.0,194.8006,194.1545,-5.2243,-2.6122,-2.9352,Odos,0x/Matcha,Sushi,618.6554621740727,0.7417,0.5064,-2.5997,Odos -> 0x/Matcha,False,5,4
2026-04-29 13:04:17,GRT,ok,,500,150.0,476.3045,475.991,-23.7322,-4.7464,-4.813,Odos,0x/Matcha,KyberSwap,19493.475232111246,1.4254,0.988,-4.7391,Odos -> 0x/Matcha,False,5,4
2026-04-29 13:04:17,stMATIC,ok,,100,30.0,99.6984,99.5704,-0.3415,-0.3415,-0.441,KyberSwap,Odos,0x/Matcha,938.9189871608739,0.0561,0.0508,-0.3016,KyberSwap -> Odos,False,6,5
2026-04-29 13:04:26,SNX,ok,,500,150.0,471.7863,470.4704,-28.2361,-5.6472,-5.9083,0x/Matcha,Odos,KyberSwap,1522.8699565758945,1.7571,1.2759,-5.6427,0x/Matcha -> Odos,False,5,4
2026-04-29 13:04:31,LDO,ok,,50,20,49.9296,49.8701,-0.0904,-0.1807,-0.2726,KyberSwap,Odos,0x/Matcha,129.11865372716397,0.0105,0.0271,-0.1407,KyberSwap -> Odos,False,6,5
