time,token,volume_usdc,buy_place,token_amount,buy_slippage,sell_place,usdc_back,sell_slippage,profit_usd,profit_percent,backup_place,backup_usdc_back,backup_profit_percent
2026-04-28 23:17:24,WMATIC,10000,ParaSwap,108622.72480887764,0.0227,KyberSwap,9991.4995,0.0041,-8.5491,-0.0855,Odos,9987.609,-0.1246
2026-04-28 23:17:33,DAI,10000,KyberSwap,10000.67578799859,0.0019,Odos,9999.2015,0.001,-0.836,-0.0084,ParaSwap,9998.5623,-0.0147
2026-04-28 23:18:33,LDO,10000,KyberSwap,25217.500327115737,1.5291,Odos,9614.5904,0.8004,-385.5641,-3.8556,0x/Matcha,9598.0014,-4.0202
2026-04-28 23:18:53,WETH,10000,KyberSwap,4.36420622361744,-0.0442,ParaSwap,9996.3468,0.0028,-3.6635,-0.0366,Odos,9994.2284,-0.0585
2026-04-28 23:19:03,WBTC,10000,ParaSwap,0.13128353,0.0099,KyberSwap,9992.9884,0.017,-7.0368,-0.0704,Odos,9992.8955,-0.0715
2026-04-28 23:19:14,AAVE,10000,KyberSwap,102.89465984132667,0.2761,Odos,9899.6826,0.1204,-100.4962,-1.005,ParaSwap,9893.0486,-1.0698
2026-04-28 23:19:24,UNI,10000,Odos,3019.5896416009964,1.2895,KyberSwap,9627.3926,0.9629,-372.8432,-3.7284,0x/Matcha,9621.6558,-3.7854
2026-04-28 23:19:36,LINK,10000,Odos,1076.0614871708337,0.1969,ParaSwap,9924.6316,0.108,-75.5168,-0.7552,KyberSwap,9924.5745,-0.7557
2026-04-28 23:19:59,WMATIC,10000,ParaSwap,108583.01963883179,0.033,Odos,9986.5815,0.0128,-13.5472,-0.1355,KyberSwap,9986.0383,-0.14
2026-04-28 23:20:07,DAI,10000,KyberSwap,10000.563589785104,0.0011,Odos,9999.1512,0.0006,-0.9014,-0.009,ParaSwap,9998.5429,-0.015
2026-04-28 23:20:49,LDO,10000,Odos,25218.205532418757,1.5306,KyberSwap,9610.3281,0.8201,-389.9686,-3.8997,0x/Matcha,9594.4068,-4.0584
2026-04-28 23:21:11,WETH,10000,ParaSwap,4.363948108252698,0.0109,KyberSwap,9991.4421,0.0001,-8.5722,-0.0857,Odos,9991.0194,-0.0918
2026-04-28 23:23:53,WBTC,10000,KyberSwap,0.13131242,-0.0053,ParaSwap,9995.0047,-0.0012,-5.0161,-0.0502,Odos,9994.2463,-0.0581
2026-04-28 23:24:05,AAVE,10000,Odos,102.90483614545562,0.2918,KyberSwap,9897.8962,0.091,-102.2632,-1.0226,ParaSwap,9893.6963,-1.0647
2026-04-28 23:24:15,UNI,10000,Odos,3020.3858686255167,1.3147,KyberSwap,9626.0397,0.9922,-374.1785,-3.7418,0x/Matcha,9622.1751,-3.7801
2026-04-28 23:24:26,LINK,10000,Odos,1076.6787531588989,0.1824,KyberSwap,9928.1329,0.1348,-72.0104,-0.7201,ParaSwap,9926.2514,-0.7389
2026-04-28 23:24:51,WMATIC,10000,ParaSwap,108599.91037497093,0.0282,KyberSwap,9988.0405,0.0118,-12.0019,-0.12,Odos,9987.9381,-0.121
2026-04-28 23:25:02,DAI,10000,KyberSwap,10000.807806883779,0.0016,Odos,9999.2002,0.0013,-0.8307,-0.0083,ParaSwap,9998.9164,-0.0111
2026-04-28 23:25:38,LDO,10000,Odos,25211.63489853949,1.5188,KyberSwap,9610.1517,0.8315,-390.4376,-3.9044,0x/Matcha,9597.3024,-4.0325
2026-04-28 23:25:57,WETH,10000,KyberSwap,4.366351715750911,0.0052,Odos,9994.0495,0.0166,-6.1328,-0.0613,ParaSwap,9993.5036,-0.0656
2026-04-28 23:26:07,WBTC,10000,ParaSwap,0.13128629,0.0099,KyberSwap,9993.3505,-0.009,-6.6722,-0.0667,Odos,9992.03,-0.0803
2026-04-28 23:26:21,AAVE,10000,Odos,102.90521973934902,0.2914,KyberSwap,9897.4332,0.1349,-102.7159,-1.0272,ParaSwap,9893.7446,-1.0642
2026-04-28 23:26:33,UNI,10000,Odos,3020.9536201026117,1.2945,KyberSwap,9624.5866,0.9873,-375.6428,-3.7564,0x/Matcha,9621.2165,-3.7898
2026-04-28 23:26:42,LINK,10000,Odos,1076.6880762278524,0.1816,KyberSwap,9927.8122,0.1314,-72.33,-0.7233,ParaSwap,9925.8679,-0.7428
2026-04-28 23:27:03,WMATIC,10000,ParaSwap,108644.86758927572,0.012,KyberSwap,9985.0008,0.0132,-15.0423,-0.1504,Odos,9984.3234,-0.1577
2026-04-28 23:27:17,DAI,10000,KyberSwap,10000.812428779118,0.0013,Odos,9999.1731,0.001,-0.8651,-0.0087,ParaSwap,9998.8813,-0.0115
2026-04-28 23:27:54,LDO,10000,Odos,25222.31951529083,1.52,KyberSwap,9604.8098,0.8528,-395.3254,-3.9533,0x/Matcha,9593.4582,-4.0664
2026-04-28 23:28:13,WETH,10000,ParaSwap,4.3698712784314555,0.0089,KyberSwap,9995.2043,0.0099,-4.817,-0.0482,Odos,9994.561,-0.0563
2026-04-28 23:28:28,WBTC,10000,ParaSwap,0.13138652,0.0068,Odos,9993.0283,0.0222,-7.0367,-0.0704,KyberSwap,9990.0717,-0.0996
2026-04-28 23:28:39,AAVE,10000,KyberSwap,102.94997799275335,0.3116,Odos,9903.1964,0.1272,-97.0034,-0.97,ParaSwap,9896.3736,-1.0367
2026-04-28 23:28:51,UNI,10000,Odos,3023.3110711909776,1.3125,KyberSwap,9627.6289,0.992,-372.5489,-3.7255,0x/Matcha,9621.8855,-3.7826
2026-04-28 23:29:04,LINK,10000,Odos,1077.5052972431456,0.1899,KyberSwap,9931.0173,0.135,-69.1063,-0.6911,ParaSwap,9929.354,-0.7078
2026-04-28 23:29:23,WMATIC,10000,ParaSwap,108711.44639441384,0.0497,Odos,9988.9478,0.0123,-11.1192,-0.1112,KyberSwap,9988.8986,-0.1114
2026-04-28 23:29:33,DAI,10000,KyberSwap,10000.801735709469,0.0012,Odos,9999.1379,0.0009,-0.9034,-0.009,ParaSwap,9998.7245,-0.0132
2026-04-28 23:30:18,LDO,10000,Odos,25234.24963062163,1.5186,KyberSwap,9609.418,0.829,-390.7343,-3.9073,0x/Matcha,9595.8147,-4.0431
2026-04-28 23:30:39,WETH,10000,KyberSwap,4.370701037622183,0.0049,Odos,9996.1307,0.0153,-4.0195,-0.0402,ParaSwap,9995.4781,-0.0456
2026-04-28 23:30:50,WBTC,10000,ParaSwap,0.13138804,0.0077,Odos,9993.0881,0.0198,-6.9615,-0.0696,KyberSwap,9990.2314,-0.098
2026-04-28 23:31:03,AAVE,10000,KyberSwap,102.96148586675761,0.301,Odos,9903.6961,0.1277,-96.5129,-0.9651,ParaSwap,9897.6156,-1.0242
2026-04-28 23:31:19,UNI,10000,Odos,3023.7060521286694,1.2995,KyberSwap,9625.3585,0.9875,-374.8465,-3.7485,0x/Matcha,9619.4991,-3.8067
2026-04-28 23:31:31,LINK,10000,Odos,1077.5461288081108,0.1929,KyberSwap,9934.2611,0.0963,-65.8548,-0.6585,ParaSwap,9930.2622,-0.6986
2026-04-28 23:31:53,WMATIC,10000,ParaSwap,108779.48698224884,0.0215,KyberSwap,9988.8366,0.0079,-11.1991,-0.112,Odos,9987.148,-0.1292
2026-04-28 23:32:03,DAI,10000,KyberSwap,10000.63128320174,0.0013,Odos,9999.0647,0.0006,-0.9719,-0.0097,ParaSwap,9998.6922,-0.0134
2026-04-28 23:32:38,LDO,10000,Odos,25211.616706835714,1.5153,KyberSwap,9604.9612,0.8472,-395.1654,-3.9517,0x/Matcha,9592.7293,-4.0738
2026-04-28 23:32:57,WETH,10000,ParaSwap,4.36606971712278,0.0186,Odos,9987.9217,0.0091,-12.1614,-0.1216,KyberSwap,9986.2696,-0.1375
2026-04-28 23:33:06,WBTC,10000,ParaSwap,0.13138336,-0.0119,Odos,9992.749,0.0189,-7.3116,-0.0731,KyberSwap,9992.6085,-0.0741
